TOURNEY_ID,TOURNEY_NAME,TOURNEY_LEVEL,TOURNEY_DRAW_SIZE,TOURNEY_SURFACE,TOURNEY_IS_INDOOR,TOURNEY_START_DATE,REF_YEAR
1987-322,Geneva,Outro,32,Clay,-,1987-01-14,1987
1987-423,Los Angeles,Outro,32,Hard,-,1987-01-21,1987
1988-318,Livingston,Outro,32,Hard,-,1988-01-15,1988
1991-D028,Davis Cup,Davis Cup,4,Carpet,Sim,1991-01-14,1991
1991-429,Stockholm Masters,Masters 1000,48,Carpet,Sim,1991-01-21,1991
1991-309,Madrid,Outro,32,Clay,-,1991-01-29,1991
1992-406,Brussels,Outro,32,Carpet,Sim,1992-01-10,1992
1993-807,Mexico City,Outro,32,Clay,-,1993-01-22,1993
1993-D041,Davis Cup,Davis Cup,4,Clay,-,1993-01-26,1993
1994-D050,Davis Cup,Davis Cup,4,Hard,-,1994-01-04,1994
1996-D063,Davis Cup,Davis Cup,4,Clay,-,1996-01-05,1996
1996-D011,Davis Cup,Davis Cup,4,Grass,-,1996-01-09,1996
1997-403,Miami Masters,Masters 1000,96,Hard,-,1997-01-17,1997
2002-D028,Davis Cup,Davis Cup,4,Carpet,Sim,2002-01-08,2002
2002-D077,Davis Cup,Davis Cup,4,Hard,-,2002-01-12,2002
2003-410,Monte Carlo Masters,Masters 1000,64,Clay,-,2003-01-14,2003
2004-D060,Davis Cup,Davis Cup,4,Clay,-,2004-01-24,2004
2007-414,Hamburg Masters,Masters 1000,56,Clay,-,2007-01-14,2007
2008-D045,Davis Cup,Davis Cup,4,Clay,-,2008-01-11,2008
2010-D034,Davis Cup,Davis Cup,4,Clay,-,2010-01-05,2010
2010-D062,Davis Cup,Davis Cup,4,Hard,-,2010-01-09,2010
2010-568,St. Petersburg,Outro,32,Hard,-,2010-01-25,2010
2013-414,Hamburg,Outro,48,Clay,-,2013-01-15,2013
2014-328,Basel,Outro,32,Hard,-,2014-01-20,2014
2016-0495,Dubai,Outro,32,Hard,-,2016-01-22,2016
2017-0605,Tour Finals,ATP Finals,8,Hard,-,2017-01-13,2017
2018-M-DC-2018-WG-M-KAZ-CRO-01,Davis Cup,Davis Cup,4,Clay,-,2018-01-06,2018
2018-0352,Paris Masters,Masters 1000,64,Hard,-,2018-01-29,2018
2019-M007,Miami Masters,Masters 1000,128,Hard,-,2019-01-18,2019
2022-M-DC-2022-WG2-PO-EGY-CYP-01,Davis Cup,Davis Cup,4,Clay,-,2022-01-04,2022
2023-M-DC-2023-FLS-3-C-M-ESP-CZE-01,Davis Cup,ATP Finals,2,Hard,-,2023-01-13,2023
2024-0410,Monte Carlo Masters,Masters 1000,64,Clay,-,2024-01-08,2024
2025-407,Rotterdam,ATP 500,32,Hard,Sim,2025-01-03,2025
2026-717,Houston,ATP 250,28,Clay,Não,2026-01-03,2026
2026-500,Halle,ATP 500,32,Grass,Não,2026-01-21,2026
2026-4462,Bucharest,ATP 250,28,Clay,Não,2026-01-31,2026
1972-D031,Davis Cup,Davis Cup,4,-,-,1972-01-01,1972
1972-401,Philadelphia WCT,Outro,32,Carpet,Sim,1972-01-08,1972
1973-D012,Davis Cup,Davis Cup,4,Clay,-,1973-01-14,1973
1974-429,Stockholm,Outro,64,Hard,-,1974-01-04,1974
1974-2033,Oslo,Outro,32,-,-,1974-01-16,1974
1978-347,Bournemouth,Outro,32,Clay,-,1978-01-24,1978
1980-D026,Davis Cup,Davis Cup,4,Clay,-,1980-01-11,1980
1981-D031,Davis Cup,Davis Cup,4,Clay,-,1981-01-02,1981
1982-418,Washington,Outro,64,Clay,-,1982-01-19,1982
1986-420,Stratton Mountain,Outro,64,Hard,-,1986-01-04,1986
1988-D001,Davis Cup,Davis Cup,4,Hard,-,1988-01-08,1988
1990-D035,Davis Cup,Davis Cup,4,Clay,-,1990-01-30,1990
1991-312,Bologna,Outro,32,Clay,-,1991-01-20,1991
1993-409,Atlanta,Outro,32,Clay,-,1993-01-26,1993
1994-325,Palermo,Outro,32,Clay,-,1994-01-26,1994
1995-481,Copenhagen,Outro,32,Carpet,Sim,1995-01-06,1995
1997-D076,Davis Cup,Davis Cup,4,Clay,-,1997-01-11,1997
1999-496,Marseille,Outro,32,Hard,-,1999-01-01,1999
2000-D006,Davis Cup,Davis Cup,4,Hard,-,2000-01-07,2000
2001-429,Stockholm,Outro,32,Hard,-,2001-01-22,2001
2003-D032,Davis Cup,Davis Cup,4,Carpet,Sim,2003-01-04,2003
2003-D057,Davis Cup,Davis Cup,4,Clay,-,2003-01-11,2003
2004-D013,Davis Cup,Davis Cup,4,Hard,-,2004-01-24,2004
2006-D042,Davis Cup,Davis Cup,4,Clay,-,2006-01-07,2006
2006-D058,Davis Cup,Davis Cup,4,Hard,-,2006-01-10,2006
2009-605,Tour Finals,ATP Finals,8,Hard,-,2009-01-22,2009
2010-D054,Davis Cup,Davis Cup,4,Hard,-,2010-01-09,2010
2010-D061,Davis Cup,Davis Cup,4,Clay,-,2010-01-09,2010
2010-D059,Davis Cup,Davis Cup,4,Hard,-,2010-01-17,2010
2011-D051,Davis Cup,Davis Cup,4,Hard,-,2011-01-16,2011
2011-414,Hamburg,Outro,48,Clay,-,2011-01-18,2011
2012-D040,Davis Cup,Davis Cup,4,Clay,-,2012-01-06,2012
2012-533,Sao Paulo,Outro,28,Clay,-,2012-01-13,2012
2012-D050,Davis Cup,Davis Cup,4,Hard,-,2012-01-14,2012
2013-560,US Open,Grand Slam,128,Hard,-,2013-01-26,2013
2014-D073,Davis Cup,Davis Cup,4,Hard,-,2014-01-04,2014
2016-6116,Atlanta,Outro,32,Hard,-,2016-01-01,2016
2016-0301,Auckland,Outro,32,Hard,-,2016-01-11,2016
2016-M-DC-2016-G2-EPA-M-LAT-BLR-01,Davis Cup,Davis Cup,4,Hard,-,2016-01-15,2016
2016-0496,Marseille,Outro,32,Hard,-,2016-01-15,2016
2017-M-DC-2017-G2-EPA-M-MAR-DEN-01,Davis Cup,Davis Cup,4,Carpet,Sim,2017-01-03,2017
2017-M-DC-2017-G2-EPA-M-LTU-MAD-01,Davis Cup,Davis Cup,4,Hard,-,2017-01-03,2017
2017-M-DC-2017-G2-AO-M-KUW-THA-01,Davis Cup,Davis Cup,4,Hard,-,2017-01-03,2017
2019-M-DC-2019-FLS-A-M-FRA-SRB-01,Davis Cup,ATP Finals,4,Hard,-,2019-01-21,2019
2021-7434,Sofia,Outro,32,Hard,-,2021-01-27,2021
2023-M-DC-2023-WG1-PO-BRA-CHN-01,Davis Cup,Davis Cup,4,-,-,2023-01-03,2023
2023-M-DC-2023-WG2-PO-BAR-POC-01,Davis Cup,Davis Cup,4,-,-,2023-01-03,2023
2025-496,Marseille,ATP 250,28,Hard,Sim,2025-01-10,2025
2025-M-DC-2025-WG2-R1-LBN-BAR-02,Davis Cup,Davis Cup,4,Clay,-,2025-01-12,2025
2026-M-DC-2026-QLS-M-GER-PER-01,Davis Cup,Davis Cup,4,Hard,Sim,2026-01-06,2026
2026-500,Halle,ATP 500,32,Grass,Não,2026-01-18,2026
2021-0451,Doha,Outro,32,Hard,-,2021-01-08,2021
1968-410,Monte Carlo,Outro,64,Clay,-,1968-01-15,1968
1968-9329,Lima NTL,Outro,4,Clay,-,1968-01-31,1968
1969-D010,Davis Cup,Davis Cup,4,-,-,1969-01-09,1969
1969-D009,Davis Cup,Davis Cup,4,Clay,-,1969-01-19,1969
1971-429,Stockholm Open,Outro,64,Hard,-,1971-01-01,1971
1973-D044,Davis Cup,Davis Cup,4,-,-,1973-01-23,1973
1974-D069,Davis Cup,Davis Cup,4,Clay,-,1974-01-20,1974
1975-D016,Davis Cup,Davis Cup,4,Clay,-,1975-01-28,1975
1976-D034,Davis Cup,Davis Cup,4,-,-,1976-01-13,1976
1979-407,Rotterdam,Outro,32,Carpet,Sim,1979-01-02,1979
1979-D044,Davis Cup,Davis Cup,4,Clay,-,1979-01-14,1979
1982-D050,Davis Cup,Davis Cup,4,Clay,-,1982-01-07,1982
1985-419,Indianapolis,Outro,56,Clay,-,1985-01-22,1985
1987-301,Auckland,Outro,32,Hard,-,1987-01-05,1987
1988-326,Brisbane,Outro,32,Hard,-,1988-01-04,1988
1988-D059,Davis Cup,Davis Cup,4,Hard,-,1988-01-08,1988
1990-D001,Davis Cup,Davis Cup,4,Clay,-,1990-01-01,1990
1990-352,Paris Masters,Masters 1000,48,Carpet,Sim,1990-01-29,1990
1991-481,Copenhagen,Outro,32,Carpet,Sim,1991-01-04,1991
1991-328,Basel,Outro,32,Hard,-,1991-01-23,1991
1992-D068,Davis Cup,Davis Cup,4,Clay,-,1992-01-17,1992
1992-328,Basel,Outro,32,Hard,-,1992-01-28,1992
1992-468,Estoril,Outro,32,Clay,-,1992-01-30,1992
1994-323,Bordeaux,Outro,32,Hard,-,1994-01-12,1994
1995-440,Rosmalen,Outro,32,Grass,-,1995-01-12,1995
1996-499,Coral Springs,Outro,32,Clay,-,1996-01-13,1996
1996-436,Bermuda,Outro,32,Clay,-,1996-01-15,1996
1997-D052,Davis Cup,Davis Cup,4,Clay,-,1997-01-19,1997
1998-438,Moscow,Outro,32,Carpet,Sim,1998-01-09,1998
1998-D083,Davis Cup,Davis Cup,4,Clay,-,1998-01-25,1998
1999-338,Sydney,Outro,32,Hard,-,1999-01-11,1999
1999-D018,Davis Cup,Davis Cup,4,Carpet,Sim,1999-01-12,1999
1999-580,Australian Open,Grand Slam,128,Hard,-,1999-01-18,1999
2003-306,St. Poelten,Outro,32,Clay,-,2003-01-19,2003
2004-D062,Davis Cup,Davis Cup,4,Carpet,Sim,2004-01-06,2004
2004-D054,Davis Cup,Davis Cup,4,Hard,-,2004-01-06,2004
2004-438,Moscow,Outro,32,Carpet,Sim,2004-01-11,2004
2005-311,Queen's Club,Outro,56,Grass,-,2005-01-06,2005
2007-D067,Davis Cup,Davis Cup,4,Carpet,Sim,2007-01-06,2007
2007-D053,Davis Cup,Davis Cup,4,Clay,-,2007-01-06,2007
2008-D013,Davis Cup,Davis Cup,4,Hard,-,2008-01-08,2008
2008-407,Rotterdam,Outro,32,Hard,-,2008-01-18,2008
2009-D053,Davis Cup,Davis Cup,4,Clay,-,2009-01-06,2009
2011-D007,Davis Cup,Davis Cup,4,Carpet,Sim,2011-01-04,2011
2011-407,Rotterdam,Outro,32,Hard,-,2011-01-07,2011
2011-5012,Johannesburg,Outro,32,Hard,-,2011-01-31,2011
2012-D001,Davis Cup,Davis Cup,4,Hard,-,2012-01-10,2012
2013-D028,Davis Cup,Davis Cup,4,Hard,-,2013-01-05,2013
2017-0451,Doha,Outro,32,Hard,-,2017-01-02,2017
2018-M-DC-2018-G2-EPA-M-POL-ZIM-01,Davis Cup,Davis Cup,4,Hard,-,2018-01-07,2018
2021-9462,Marbella,Outro,32,Clay,-,2021-01-05,2021
2023-0311,Queen's Club,Outro,32,Grass,-,2023-01-19,2023
2024-0425,Barcelona,Outro,64,Clay,-,2024-01-15,2024
2024-4713,Hangzhou,Outro,28,Hard,-,2024-01-18,2024
1968-T150,Madrid Real,Outro,-1,-,-,1968-01-01,1968
1972-9215,Cleveland,Outro,32,Carpet,Sim,1972-01-07,1972
1981-419,Indianapolis,Outro,64,Clay,-,1981-01-03,1981
1984-408,Milan,Outro,32,Carpet,Sim,1984-01-19,1984
1985-708,La Quinta,Outro,56,Hard,-,1985-01-18,1985
1986-419,Indianapolis,Outro,56,Clay,-,1986-01-28,1986
1989-D059,Davis Cup,Davis Cup,4,Hard,-,1989-01-07,1989
1990-520,Roland Garros,Grand Slam,128,Clay,-,1990-01-28,1990
1991-560,US Open,Grand Slam,128,Hard,-,1991-01-26,1991
1992-D066,Davis Cup,Davis Cup,4,Hard,-,1992-01-27,1992
1995-D042,Davis Cup,Davis Cup,4,Carpet,Sim,1995-01-03,1995
1996-D053,Davis Cup,Davis Cup,4,Clay,-,1996-01-09,1996
1996-306,St. Poelten,Outro,32,Clay,-,1996-01-20,1996
1996-D006,Davis Cup,Davis Cup,4,Hard,-,1996-01-20,1996
1998-440,s Hertogenbosch,Outro,32,Grass,-,1998-01-15,1998
1998-D037,Davis Cup,Davis Cup,4,Clay,-,1998-01-17,1998
1999-D063,Davis Cup,Davis Cup,4,Hard,-,1999-01-02,1999
1999-D083,Davis Cup,Davis Cup,4,Hard,-,1999-01-16,1999
2000-D009,Davis Cup,Davis Cup,4,Hard,-,2000-01-07,2000
2000-321,Stuttgart Outdoor,Outro,32,Clay,-,2000-01-17,2000
2000-520,Roland Garros,Grand Slam,128,Clay,-,2000-01-29,2000
2004-D073,Davis Cup,Davis Cup,4,Hard,-,2004-01-09,2004
2006-1536,Madrid Masters,Masters 1000,48,Hard,-,2006-01-16,2006
2008-D076,Davis Cup,Davis Cup,4,Grass,-,2008-01-19,2008
2008-421,Canada Masters,Masters 1000,56,Hard,-,2008-01-21,2008
2009-D051,Davis Cup,Davis Cup,4,Carpet,Sim,2009-01-06,2009
2010-D021,Davis Cup,Davis Cup,4,Clay,-,2010-01-05,2010
2010-D074,Davis Cup,Davis Cup,4,Clay,-,2010-01-09,2010
2010-D040,Davis Cup,Davis Cup,4,Hard,-,2010-01-09,2010
2010-1720,Bangkok,Outro,28,Hard,-,2010-01-27,2010
2013-328,Basel,Outro,32,Hard,-,2013-01-21,2013
2023-M-DC-2023-WG1-PO-ISR-LAT-01,Davis Cup,Davis Cup,4,-,-,2023-01-04,2023
2023-M-DC-2023-FLS-3-C-M-ESP-KOR-01,Davis Cup,ATP Finals,2,Hard,-,2023-01-17,2023
2025-M-DC-2025-WG2-PO-RSA-NGR-02,Davis Cup,Davis Cup,4,Hard,-,2025-01-01,2025
2025-319,Kitzbuhel,ATP 250,28,Clay,Não,2025-01-21,2025
2026-500,Halle,ATP 500,32,Grass,Não,2026-01-16,2026
1968-D027,Davis Cup,Davis Cup,4,-,-,1968-01-03,1968
1968-D031,Davis Cup,Davis Cup,4,-,-,1968-01-21,1968
1968-2058,New York 1,Outro,32,Carpet,Sim,1968-01-25,1968
1968-9347,Reggio Calabria,Outro,64,Clay,-,1968-01-29,1968
1971-343,Columbus,Outro,32,Hard,-,1971-01-01,1971
1973-D007,Davis Cup,Davis Cup,4,Grass,-,1973-01-16,1973
1975-267,Barcelona WCT,Outro,32,Carpet,Sim,1975-01-17,1975
1977-343,Columbus,Outro,64,Clay,-,1977-01-08,1977
1981-412,Atlanta,Outro,32,Hard,-,1981-01-17,1981
1984-D014,Davis Cup,Davis Cup,4,Clay,-,1984-01-02,1984
1984-330,Tel Aviv,Outro,32,Hard,-,1984-01-10,1984
1985-D012,Davis Cup,Davis Cup,4,Clay,-,1985-01-04,1985
1985-305,Nice,Outro,32,Clay,-,1985-01-08,1985
1986-327,Toulouse,Outro,32,Hard,-,1986-01-06,1986
1986-D016,Davis Cup,Davis Cup,4,Hard,-,1986-01-07,1986
1988-337,Vienna,Outro,32,Carpet,Sim,1988-01-17,1988
1989-560,US Open,Grand Slam,128,Hard,-,1989-01-28,1989
1991-317,Hilversum,Outro,32,Clay,-,1991-01-22,1991
1991-717,Tampa,Outro,32,Clay,-,1991-01-29,1991
1993-D059,Davis Cup,Davis Cup,4,Hard,-,1993-01-22,1993
1994-301,Auckland,Outro,32,Hard,-,1994-01-10,1994
1999-D068,Davis Cup,Davis Cup,4,Hard,-,1999-01-02,1999
2000-D026,Davis Cup,Davis Cup,4,Clay,-,2000-01-06,2000
2000-D017,Davis Cup,Davis Cup,4,Hard,-,2000-01-07,2000
2001-D056,Davis Cup,Davis Cup,4,Clay,-,2001-01-20,2001
2005-375,Lyon,Outro,32,Carpet,Sim,2005-01-24,2005
2009-5053,Belgrade,Outro,28,Clay,-,2009-01-04,2009
2010-D022,Davis Cup,Davis Cup,4,Hard,-,2010-01-05,2010
2014-D041,Davis Cup,Davis Cup,4,Hard,-,2014-01-12,2014
2018-M-DC-2018-G1-EPA-M-AUT-BLR-01,Davis Cup,Davis Cup,4,Clay,-,2018-01-02,2018
2018-M-DC-2018-G2-EPA-M-EGY-NOR-01,Davis Cup,Davis Cup,4,Hard,-,2018-01-03,2018
2020-M-DC-2020-WG1-PO-TUR-ISR-01,Davis Cup,Davis Cup,4,Clay,-,2020-01-06,2020
2021-0496,Marseille,Outro,32,Hard,-,2021-01-08,2021
2025-M-DC-2025-WG2-R1-RSA-MAR-04,Davis Cup,Davis Cup,4,Hard,-,2025-01-13,2025
2025-M-DC-2025-WG2-PO-IRL-KSA-04,Davis Cup,Davis Cup,-1,Hard,-,2025-01-31,2025
2025-M-DC-2025-WG2-PO-IRL-KSA-03,Davis Cup,Davis Cup,-1,Hard,-,2025-01-31,2025
2026-540,Wimbledon,Grand Slam,128,Grass,Não,2026-01-04,2026
2026-314,Gstaad,ATP 250,28,Clay,Não,2026-01-19,2026
1969-9830,Pittsburgh,Outro,8,Clay,-,1969-01-01,1969
1970-D043,Davis Cup,Davis Cup,4,Clay,-,1970-01-07,1970
1972-414,Hamburg,Outro,32,Clay,-,1972-01-05,1972
1973-278,Barcelona,Outro,64,Clay,-,1973-01-02,1973
1973-653,Fort Worth,Outro,32,Hard,-,1973-01-07,1973
1973-D035,Davis Cup,Davis Cup,4,Clay,-,1973-01-20,1973
1975-D004,Davis Cup,Davis Cup,4,Grass,-,1975-01-10,1975
1975-D029,Davis Cup,Davis Cup,4,Clay,-,1975-01-25,1975
1976-D031,Davis Cup,Davis Cup,4,Clay,-,1976-01-02,1976
1976-405,Houston,Outro,16,Clay,-,1976-01-06,1976
1977-682,Springfield,Outro,32,Carpet,Sim,1977-01-07,1977
1977-308,Munich,Outro,32,Clay,-,1977-01-26,1977
1977-705,North Conway,Outro,64,Clay,-,1977-01-31,1977
1978-3934,WCT Challenge Cup,Outro,8,Hard,-,1978-01-12,1978
1979-419,Indianapolis,Outro,64,Clay,-,1979-01-06,1979
1979-D029,Davis Cup,Davis Cup,4,-,-,1979-01-16,1979
1980-359,Bogota,Outro,32,Clay,-,1980-01-10,1980
1981-347,Bournemouth,Outro,32,Clay,-,1981-01-20,1981
1982-D046,Davis Cup,Davis Cup,4,Clay,-,1982-01-22,1982
1984-D038,Davis Cup,Davis Cup,4,Clay,-,1984-01-28,1984
1985-312,Bologna,Outro,32,Clay,-,1985-01-10,1985
1986-313,Bristol,Outro,48,Grass,-,1986-01-16,1986
1991-D025,Davis Cup,Davis Cup,4,Hard,-,1991-01-03,1991
1993-615,Dusseldorf,Outro,32,Clay,-,1993-01-17,1993
1993-D025,Davis Cup,Davis Cup,4,Hard,-,1993-01-30,1993
1996-D060,Davis Cup,Davis Cup,4,Clay,-,1996-01-05,1996
2003-402,Memphis,Outro,32,Hard,-,2003-01-17,2003
2005-807,Acapulco,Outro,32,Clay,-,2005-01-21,2005
2007-D001,Davis Cup,Davis Cup,4,Clay,-,2007-01-09,2007
2007-425,Barcelona,Outro,56,Clay,-,2007-01-23,2007
2008-D070,Davis Cup,Davis Cup,4,Clay,-,2008-01-18,2008
2008-D059,Davis Cup,Davis Cup,4,Clay,-,2008-01-18,2008
2008-D057,Davis Cup,Davis Cup,4,Hard,-,2008-01-19,2008
2009-D002,Davis Cup,Davis Cup,4,Carpet,Sim,2009-01-06,2009
2010-2276,Zagreb,Outro,32,Hard,-,2010-01-01,2010
2010-D028,Davis Cup,Davis Cup,4,Clay,-,2010-01-05,2010
2010-D067,Davis Cup,Davis Cup,4,Clay,-,2010-01-09,2010
2011-605,Tour Finals,ATP Finals,16,Hard,-,2011-01-20,2011
2013-D051,Davis Cup,Davis Cup,4,Hard,-,2013-01-01,2013
2013-D020,Davis Cup,Davis Cup,4,Clay,-,2013-01-01,2013
2014-D079,Davis Cup,Davis Cup,4,Clay,-,2014-01-04,2014
2015-D036,Davis Cup,Davis Cup,4,Hard,-,2015-01-06,2015
2015-D037,Davis Cup,Davis Cup,4,Hard,-,2015-01-06,2015
2015-D011,Davis Cup,Davis Cup,4,Clay,-,2015-01-17,2015
2018-M015,Beijing,Outro,32,Hard,-,2018-01-01,2018
2020-M-DC-2020-WG2-PO-GUA-TUN-01,Davis Cup,Davis Cup,4,Hard,-,2020-01-06,2020
2022-9210,Laver Cup,Outro,8,Hard,-,2022-01-23,2022
2025-M-DC-2025-WG1-PO-TUR-MEX-01,Davis Cup,Davis Cup,4,Hard,-,2025-01-01,2025
2026-410,Monte Carlo,Masters 1000,56,Clay,Não,2026-01-07,2026
2026-314,Gstaad,ATP 250,28,Clay,Não,2026-01-16,2026
1968-9297,Shreveport WCT,Outro,8,Hard,-,1968-01-08,1968
1968-9306,Los Altos Hills WCT,Outro,8,Carpet,Sim,1968-01-28,1968
1971-610,Dallas,Outro,8,Carpet,Sim,1971-01-18,1971
1972-D047,Davis Cup,Davis Cup,4,Clay,-,1972-01-05,1972
1972-D027,Davis Cup,Davis Cup,4,Clay,-,1972-01-16,1972
1973-2026,Madrid,Outro,64,Clay,-,1973-01-23,1973
1974-583,Manchester,Outro,16,Grass,-,1974-01-03,1974
1975-D030,Davis Cup,Davis Cup,4,Clay,-,1975-01-23,1975
1980-310,Florence,Outro,32,Clay,-,1980-01-12,1980
1981-1725,Pepsi Grand Slam,Outro,4,Clay,-,1981-01-13,1981
1982-416,Rome,Masters 1000,64,Clay,-,1982-01-17,1982
1983-D022,Davis Cup,Davis Cup,4,Clay,-,1983-01-04,1983
1983-333,Taipei,Outro,32,Carpet,Sim,1983-01-07,1983
1985-D026,Davis Cup,Davis Cup,4,Clay,-,1985-01-02,1985
1985-D015,Davis Cup,Davis Cup,4,Clay,-,1985-01-02,1985
1985-304,Nancy,Outro,32,Hard,-,1985-01-18,1985
1989-308,Munich,Outro,48,Clay,-,1989-01-01,1989
1991-329,Tokyo Outdoor,Outro,56,Hard,-,1991-01-08,1991
1992-348,Bolzano,Outro,32,Carpet,Sim,1992-01-12,1992
1993-500,Halle,Outro,32,Grass,-,1993-01-14,1993
1993-D026,Davis Cup,Davis Cup,4,Clay,-,1993-01-26,1993
1996-402,Memphis,Outro,48,Hard,-,1996-01-19,1996
1998-D026,Davis Cup,Davis Cup,4,Hard,-,1998-01-17,1998
1998-D003,Davis Cup,Davis Cup,4,Clay,-,1998-01-25,1998
1999-D048,Davis Cup,Davis Cup,4,Hard,-,1999-01-02,1999
1999-D006,Davis Cup,Davis Cup,4,Grass,-,1999-01-24,1999
2001-337,Vienna,Outro,32,Hard,-,2001-01-08,2001
2003-D037,Davis Cup,Davis Cup,4,Hard,-,2003-01-19,2003
2004-352,Paris Masters,Masters 1000,48,Carpet,Sim,2004-01-01,2004
2004-D002,Davis Cup,Davis Cup,4,Hard,-,2004-01-06,2004
2004-301,Auckland,Outro,32,Hard,-,2004-01-12,2004
2005-D003,Davis Cup,Davis Cup,4,Grass,-,2005-01-04,2005
2007-D043,Davis Cup,Davis Cup,4,Clay,-,2007-01-06,2007
2008-D028,Davis Cup,Davis Cup,4,Hard,-,2008-01-08,2008
2008-496,Marseille,Outro,32,Hard,-,2008-01-11,2008
2008-D074,Davis Cup,Davis Cup,4,Hard,-,2008-01-11,2008
2008-468,Estoril,Outro,32,Clay,-,2008-01-14,2008
2008-615,Dusseldorf,Outro,32,Clay,-,2008-01-18,2008
2009-D036,Davis Cup,Davis Cup,4,Clay,-,2009-01-06,2009
2009-375,Lyon,Outro,32,Hard,-,2009-01-26,2009
2012-D006,Davis Cup,Davis Cup,4,Hard,-,2012-01-10,2012
2012-M-DC-2012-WG-M-ESP-CZE-01,Davis Cup,Davis Cup,4,Hard,-,2012-01-16,2012
2012-423,Los Angeles,Outro,28,Hard,-,2012-01-23,2012
2013-D052,Davis Cup,Davis Cup,4,Hard,-,2013-01-01,2013
2013-D074,Davis Cup,Davis Cup,4,Clay,-,2013-01-13,2013
2014-717,Houston,Outro,28,Clay,-,2014-01-07,2014
2015-7290,Estoril,Outro,28,Clay,-,2015-01-27,2015
2016-M-DC-2016-G1-AM-M-CHI-DOM-01,Davis Cup,Davis Cup,4,Clay,-,2016-01-04,2016
2019-M-DC-2019-QLS-M-JPN-CHN-01,Davis Cup,Davis Cup,4,Hard,-,2019-01-01,2019
2019-0506,Buenos Aires,Outro,32,Clay,-,2019-01-11,2019
2021-0316,Bastad,Outro,32,Clay,-,2021-01-12,2021
2022-M-DC-2022-FLS-M-GER-CAN-01,Davis Cup,ATP Finals,2,Hard,-,2022-01-24,2022
2024-M-DC-2024-QLS-M-NED-SUI-01,Davis Cup,Davis Cup,4,Hard,-,2024-01-02,2024
2024-0341,Metz,Outro,28,Hard,-,2024-01-04,2024
2025-M-DC-2025-WG1-R1-KOR-KAZ-01,Davis Cup,Davis Cup,4,Hard,-,2025-01-12,2025
2026-500,Halle,ATP 500,32,Grass,Não,2026-01-19,2026
2026-8996,Santiago,ATP 250,28,Clay,Não,2026-01-28,2026
2026-403,Miami Masters,Masters 1000,96,Hard,Não,2026-01-29,2026
1968-9316,Baltimore WCT,Outro,8,Carpet,Sim,1968-01-31,1968
1968-308,Munich,Outro,64,Clay,-,1968-01-31,1968
1970-319,Kitzbuehel,Outro,64,Clay,-,1970-01-09,1970
1970-406,Brussels,Outro,32,Clay,-,1970-01-12,1970
1973-D039,Davis Cup,Davis Cup,4,-,-,1973-01-13,1973
1973-2032,Christchurch,Outro,32,-,-,1973-01-18,1973
1974-343,Columbus,Outro,32,Hard,-,1974-01-19,1974
1975-401,Philadelphia WCT,Outro,128,Carpet,Sim,1975-01-20,1975
1976-650,Birmingham,Outro,32,Carpet,Sim,1976-01-20,1976
1976-729,Palm Springs,Outro,64,Hard,-,1976-01-22,1976
1976-417,Boston,Outro,64,Clay,-,1976-01-23,1976
1977-661,Dusseldorf,Outro,32,Clay,-,1977-01-16,1977
1978-408,Milan WCT,Outro,32,Carpet,Sim,1978-01-27,1978
1979-412,Atlanta,Outro,32,Hard,-,1979-01-10,1979
1979-D028,Davis Cup,Davis Cup,4,Clay,-,1979-01-14,1979
1980-421,Montreal / Toronto,Masters 1000,64,Hard,-,1980-01-11,1980
1986-D057,Davis Cup,Davis Cup,4,Hard,-,1986-01-04,1986
1986-540,Wimbledon,Grand Slam,128,Grass,-,1986-01-23,1986
1987-D012,Davis Cup,Davis Cup,4,Clay,-,1987-01-13,1987
1988-240,Itaparica,Outro,32,Hard,-,1988-01-21,1988
1990-D044,Davis Cup,Davis Cup,4,Hard,-,1990-01-02,1990
1990-D024,Davis Cup,Davis Cup,4,Hard,-,1990-01-21,1990
1991-D011,Davis Cup,Davis Cup,4,Hard,-,1991-01-03,1991
1992-D040,Davis Cup,Davis Cup,4,Carpet,Sim,1992-01-31,1992
1993-D074,Davis Cup,Davis Cup,4,Clay,-,1993-01-05,1993
1995-329,Tokyo Outdoor,Outro,56,Hard,-,1995-01-10,1995
1995-359,Bogota,Outro,32,Clay,-,1995-01-11,1995
1995-408,Milan,Outro,32,Carpet,Sim,1995-01-13,1995
1996-D061,Davis Cup,Davis Cup,4,Hard,-,1996-01-09,1996
1998-580,Australian Open,Grand Slam,128,Hard,-,1998-01-19,1998
2001-D073,Davis Cup,Davis Cup,4,Clay,-,2001-01-21,2001
2001-421,Canada Masters,Masters 1000,64,Hard,-,2001-01-30,2001
2005-D029,Davis Cup,Davis Cup,4,Clay,-,2005-01-23,2005
2006-D071,Davis Cup,Davis Cup,4,Hard,-,2006-01-07,2006
2006-429,Stockholm,Outro,32,Hard,-,2006-01-09,2006
2009-D045,Davis Cup,Davis Cup,4,Clay,-,2009-01-10,2009
2011-D046,Davis Cup,Davis Cup,4,Hard,-,2011-01-16,2011
2017-M-DC-2017-WG-M-FRA-GBR-01,Davis Cup,Davis Cup,4,Clay,-,2017-01-07,2017
2018-0506,Buenos Aires,Outro,32,Clay,-,2018-01-12,2018
2019-M020,Brisbane,Outro,32,Hard,-,2018-01-31,2018
